Zipcode,10/8/2020 5:00,10/9/2020 5:00,10/10/2020 5:00,10/11/2020 5:00,10/12/2020 5:00,10/13/2020 5:00,10/14/2020 5:00,10/15/2020 5:00,10/16/2020 5:00,10/17/2020 5:00,10/18/2020 5:00,10/19/2020 5:00,10/20/2020 5:00,10/21/2020 5:00,10/22/2020 5:00,10/23/2020 5:00,10/24/2020 5:00,10/25/2020 5:00,10/26/2020 5:00,10/27/2020 5:00,10/28/2020 5:00,10/29/2020 5:00,10/30/2020 5:00,10/31/2020 5:00,11/1/2020 5:00,11/2/2020 5:00,11/3/2020 5:00,11/4/2020 5:00,11/5/2020 5:00,11/6/2020 5:00,11/7/2020 5:00,11/8/2020 5:00,11/9/2020 5:00,11/10/2020 5:00,11/11/2020 5:00,11/12/2020 5:00,11/13/2020 5:00,11/14/2020 5:00,11/15/2020 5:00,11/16/2020 5:00,11/17/2020 5:00,11/18/2020 5:00,11/19/2020 5:00,11/20/2020 5:00,11/21/2020 5:00,11/22/2020 5:00,11/23/2020 5:00,11/24/2020 5:00,11/25/2020 5:00,11/26/2020 5:00,11/27/2020 5:00,11/28/2020 5:00,11/29/2020 5:00,11/30/2020 5:00,12/1/2020 5:00,12/2/2020 5:00,12/3/2020 5:00,12/4/2020 5:00,12/5/2020 5:00,12/6/2020 5:00
78701,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
78702,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
78703,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
78704,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
78705,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
78717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78723,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
78724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3
78727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0
78728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,3,2,2,2,2,2,2
