Zipcode,pop_density
78705,"11,008.66"
78751,"5,822.28"
78752,"5,435.92"
78741,"5,346.47"
78723,"5,175.95"
78704,"5,001.96"
78758,"4,954.80"
78702,"4,501.98"
78757,"4,380.92"
78756,"4,298.80"
78745,"4,063.22"
78753,"3,973.96"
78703,"3,491.54"
78731,"3,031.63"
78759,"2,998.68"
78727,"2,856.67"
78749,"2,795.02"
78728,"2,640.31"
78721,"2,568.43"
78722,"2,567.53"
78729,"2,366.94"
78701,"2,326.65"
78748,"1,961.73"
78750,"1,731.01"
78744,"1,464.78"
78746,"1,152.39"
78717,"1,081.05"
78739,768.8
78734,698.96
78724,555.85
78726,543.24
78733,510.92
78754,484.73
78735,474.14
78732,416.13
78742,321.4
78730,257.86
78738,213.29
78747,194.02
78736,187.88
78737,143.9
78725,116.87
78719,93.88
